image_id,gt_x,gt_y,pattern_style,stress_mode
pair_001,364.5239,430.3349,DRAM,Standard
pair_002,347.116,717.3516,FinFET,Heavy Noise
pair_003,558.8782,401.3383,DRAM,Surface Charging
pair_004,675.9212,274.9351,FinFET,Standard
pair_005,641.1283,623.8194,DRAM,Heavy Noise
pair_006,522.3831,466.483,FinFET,Surface Charging
pair_007,338.107,595.7364,DRAM,Standard
pair_008,370.6394,566.6881,FinFET,Heavy Noise
pair_009,377.1669,634.8667,DRAM,Surface Charging
pair_010,630.9634,576.6505,FinFET,Standard
pair_011,306.7855,288.4971,DRAM,Heavy Noise
pair_012,472.4312,561.7917,FinFET,Surface Charging
pair_013,433.3955,552.7532,DRAM,Standard
pair_014,471.6477,270.8083,FinFET,Heavy Noise
pair_015,336.2792,602.4951,DRAM,Surface Charging
pair_016,266.2549,670.0594,FinFET,Standard
pair_017,715.8013,300.7232,DRAM,Heavy Noise
pair_018,642.763,744.8637,FinFET,Surface Charging
pair_019,273.03,335.3221,DRAM,Standard
pair_020,505.7879,371.7668,FinFET,Heavy Noise
pair_021,534.6221,412.1782,DRAM,Surface Charging
pair_022,593.4325,726.3905,FinFET,Standard
pair_023,570.2602,261.6547,DRAM,Heavy Noise
pair_024,317.2658,303.8394,FinFET,Surface Charging
pair_025,272.7938,416.5501,DRAM,Standard
pair_026,523.2945,698.7639,FinFET,Heavy Noise
pair_027,385.4402,503.21,DRAM,Surface Charging
pair_028,427.692,546.4824,FinFET,Standard
pair_029,690.5837,642.7642,DRAM,Heavy Noise
pair_030,694.8887,452.0707,FinFET,Surface Charging
pair_031,372.5297,427.3076,DRAM,Standard
pair_032,417.0105,591.1477,FinFET,Heavy Noise
pair_033,718.7832,700.7184,DRAM,Surface Charging
pair_034,494.5341,257.6368,FinFET,Standard
pair_035,504.8815,308.0595,DRAM,Heavy Noise
pair_036,658.3435,267.0347,FinFET,Surface Charging
pair_037,574.6854,651.1646,DRAM,Standard
pair_038,693.3453,338.2014,FinFET,Heavy Noise
pair_039,614.1972,631.466,DRAM,Surface Charging
pair_040,270.3795,448.1133,FinFET,Standard
pair_041,671.3427,300.4486,DRAM,Heavy Noise
pair_042,338.7155,733.5703,FinFET,Surface Charging
pair_043,607.0649,526.3724,DRAM,Standard
pair_044,412.7107,443.2563,FinFET,Heavy Noise
pair_045,385.4129,549.6947,DRAM,Surface Charging
pair_046,555.8661,649.1377,FinFET,Standard
pair_047,616.6448,429.4985,DRAM,Heavy Noise
pair_048,430.9349,602.5961,FinFET,Surface Charging
pair_049,722.1413,367.6245,DRAM,Standard
pair_050,542.4403,576.3115,FinFET,Heavy Noise
pair_051,250.9555,698.1634,DRAM,Surface Charging
pair_052,540.3673,712.4544,FinFET,Standard
pair_053,591.7196,369.217,DRAM,Heavy Noise
pair_054,275.0678,379.8972,FinFET,Surface Charging
pair_055,520.0675,478.719,DRAM,Standard
pair_056,702.1161,271.8715,FinFET,Heavy Noise
pair_057,298.379,733.3721,DRAM,Surface Charging
pair_058,612.5446,591.3167,FinFET,Standard
pair_059,746.1844,396.0115,DRAM,Heavy Noise
pair_060,573.8155,298.969,FinFET,Surface Charging
pair_061,680.7077,702.3179,DRAM,Standard
pair_062,523.6817,620.0386,FinFET,Heavy Noise
pair_063,303.3713,450.4315,DRAM,Surface Charging
pair_064,516.4533,310.448,FinFET,Standard
pair_065,254.7223,289.1629,DRAM,Heavy Noise
pair_066,706.5741,535.6067,FinFET,Surface Charging
pair_067,585.9655,317.3783,DRAM,Standard
pair_068,407.1057,504.547,FinFET,Heavy Noise
pair_069,687.8291,493.4811,DRAM,Surface Charging
pair_070,447.0413,717.1642,FinFET,Standard
pair_071,384.9561,298.8519,DRAM,Heavy Noise
pair_072,364.0012,302.4681,FinFET,Surface Charging
pair_073,627.3695,295.8147,DRAM,Standard
pair_074,302.7039,608.8514,FinFET,Heavy Noise
pair_075,480.0845,390.1651,DRAM,Surface Charging
pair_076,426.4084,721.4461,FinFET,Standard
pair_077,593.7277,681.0195,DRAM,Heavy Noise
pair_078,481.6176,563.2543,FinFET,Surface Charging
pair_079,744.2539,331.1367,DRAM,Standard
pair_080,540.2898,476.1296,FinFET,Heavy Noise
pair_081,465.5662,505.4243,DRAM,Surface Charging
pair_082,351.5345,694.1681,FinFET,Standard
pair_083,357.2159,352.3426,DRAM,Heavy Noise
pair_084,567.3553,454.0702,FinFET,Surface Charging
pair_085,316.3518,414.7212,DRAM,Standard
pair_086,449.1394,267.9784,FinFET,Heavy Noise
pair_087,492.5613,283.2612,DRAM,Surface Charging
pair_088,432.2576,691.0108,FinFET,Standard
pair_089,308.5511,655.2704,DRAM,Heavy Noise
pair_090,299.7446,738.5757,FinFET,Surface Charging
pair_091,264.7566,666.0675,DRAM,Standard
pair_092,315.6289,690.0765,FinFET,Heavy Noise
pair_093,352.0311,561.8084,DRAM,Surface Charging
pair_094,291.3474,616.3352,FinFET,Standard
pair_095,353.6794,664.0231,DRAM,Heavy Noise
pair_096,340.4678,402.4381,FinFET,Surface Charging
pair_097,591.8547,270.1294,DRAM,Standard
pair_098,642.3526,597.4822,FinFET,Heavy Noise
pair_099,378.9608,290.4383,DRAM,Surface Charging
pair_100,392.7013,365.6897,FinFET,Standard
pair_101,673.1125,378.6934,DRAM,Heavy Noise
pair_102,621.3191,694.7076,FinFET,Surface Charging
pair_103,444.7684,536.709,DRAM,Standard
pair_104,723.7952,406.6681,FinFET,Heavy Noise
pair_105,269.6101,506.7312,DRAM,Surface Charging
pair_106,712.7336,416.1951,FinFET,Standard
pair_107,627.3427,731.8849,DRAM,Heavy Noise
pair_108,644.3302,321.6147,FinFET,Surface Charging
pair_109,286.5329,520.8833,DRAM,Standard
pair_110,292.22,531.976,FinFET,Heavy Noise
pair_111,678.0332,638.6029,DRAM,Surface Charging
pair_112,513.6393,437.9258,FinFET,Standard
pair_113,739.1914,336.5038,DRAM,Heavy Noise
pair_114,272.1251,569.3595,FinFET,Surface Charging
pair_115,362.8254,509.7187,DRAM,Standard
pair_116,382.9857,467.35,FinFET,Heavy Noise
pair_117,527.5407,458.1644,DRAM,Surface Charging
pair_118,737.5295,541.5231,FinFET,Standard
pair_119,391.6296,485.2012,DRAM,Heavy Noise
pair_120,494.2501,634.2694,FinFET,Surface Charging
pair_121,614.6519,601.8835,DRAM,Standard
pair_122,654.1137,500.305,FinFET,Heavy Noise
pair_123,572.1576,252.8625,DRAM,Surface Charging
pair_124,427.8896,619.1412,FinFET,Standard
pair_125,577.8228,719.8711,DRAM,Heavy Noise
pair_126,267.0456,709.5552,FinFET,Surface Charging
pair_127,473.6257,743.0481,DRAM,Standard
pair_128,486.1454,344.4894,FinFET,Heavy Noise
pair_129,556.6398,605.4497,DRAM,Surface Charging
pair_130,514.2849,510.6642,FinFET,Standard
pair_131,478.7294,727.7249,DRAM,Heavy Noise
pair_132,530.1709,660.9541,FinFET,Surface Charging
pair_133,441.0238,605.9528,DRAM,Standard
pair_134,250.1358,328.4484,FinFET,Heavy Noise
pair_135,532.1922,459.8632,DRAM,Surface Charging
pair_136,488.1232,436.3506,FinFET,Standard
pair_137,260.7952,348.6302,DRAM,Heavy Noise
pair_138,323.8585,340.9936,FinFET,Surface Charging
pair_139,381.7339,645.3188,DRAM,Standard
pair_140,748.873,613.4739,FinFET,Heavy Noise
pair_141,431.4331,355.6306,DRAM,Surface Charging
pair_142,633.036,527.0975,FinFET,Standard
pair_143,702.9478,579.0338,DRAM,Heavy Noise
pair_144,258.3078,305.284,FinFET,Surface Charging
pair_145,425.0615,504.6422,DRAM,Standard
pair_146,630.9321,531.8084,FinFET,Heavy Noise
pair_147,513.9384,456.6513,DRAM,Surface Charging
pair_148,458.7374,254.3256,FinFET,Standard
pair_149,705.2275,557.2925,DRAM,Heavy Noise
pair_150,597.9999,613.7703,FinFET,Surface Charging
pair_151,294.2281,727.3385,DRAM,Standard
pair_152,437.0436,276.8517,FinFET,Heavy Noise
pair_153,668.6807,469.6743,DRAM,Surface Charging
pair_154,555.324,418.9202,FinFET,Standard
pair_155,440.6725,540.4475,DRAM,Heavy Noise
pair_156,590.1003,560.2961,FinFET,Surface Charging
pair_157,397.0303,673.6239,DRAM,Standard
pair_158,716.3639,268.0453,FinFET,Heavy Noise
pair_159,690.2838,646.4226,DRAM,Surface Charging
pair_160,616.908,259.3978,FinFET,Standard
pair_161,393.2601,678.9748,DRAM,Heavy Noise
pair_162,451.315,638.4158,FinFET,Surface Charging
pair_163,383.5843,374.2715,DRAM,Standard
pair_164,261.4191,498.7852,FinFET,Heavy Noise
pair_165,482.4072,707.1998,DRAM,Surface Charging
pair_166,696.0344,604.701,FinFET,Standard
pair_167,655.7073,562.8435,DRAM,Heavy Noise
pair_168,733.838,679.1775,FinFET,Surface Charging
pair_169,587.6062,480.4748,DRAM,Standard
pair_170,575.0442,285.0004,FinFET,Heavy Noise
pair_171,510.7812,558.8446,DRAM,Surface Charging
pair_172,448.855,309.0256,FinFET,Standard
pair_173,697.1586,522.166,DRAM,Heavy Noise
pair_174,699.7621,746.2753,FinFET,Surface Charging
pair_175,748.1496,553.8104,DRAM,Standard
pair_176,615.5785,656.9782,FinFET,Heavy Noise
pair_177,743.7903,675.3697,DRAM,Surface Charging
pair_178,478.0836,575.8388,FinFET,Standard
pair_179,283.493,694.9162,DRAM,Heavy Noise
pair_180,722.9843,631.7218,FinFET,Surface Charging
pair_181,451.3725,642.0619,DRAM,Standard
pair_182,523.7504,274.914,FinFET,Heavy Noise
pair_183,597.8235,584.1009,DRAM,Surface Charging
pair_184,626.276,552.3143,FinFET,Standard
pair_185,590.9159,385.7124,DRAM,Heavy Noise
pair_186,619.3432,508.0117,FinFET,Surface Charging
pair_187,268.7625,260.3929,DRAM,Standard
pair_188,636.7724,526.4632,FinFET,Heavy Noise
pair_189,274.6184,274.1001,DRAM,Surface Charging
pair_190,710.7896,620.276,FinFET,Standard
pair_191,576.2573,721.3017,DRAM,Heavy Noise
