sample_id,gt_x,gt_y,stress_mode
sample_001,535.258642689233,532.26437760242,standard
sample_002,333.5628214545508,290.4990184442493,heavy_noise
sample_003,577.2568691325442,398.64169150434964,charging
sample_004,496.1451771988842,472.7969790733433,standard
sample_005,543.8741445549429,652.2194916997732,heavy_noise
sample_006,340.2829627124371,715.8236163865943,charging
sample_007,370.77762913176406,735.877131436343,standard
sample_008,571.7859706444868,385.0455158953233,heavy_noise
sample_009,384.096461795633,286.2497229332739,charging
sample_010,280.1129197218675,685.1746922301642,standard
sample_011,271.2259890802005,452.51832675771095,heavy_noise
sample_012,713.6506478568133,519.5312568472494,charging
sample_013,285.65406021971717,438.9549084341163,standard
sample_014,587.7241199133621,728.1740776824023,heavy_noise
sample_015,342.7905983483081,400.8294291933226,charging
sample_016,618.7976137979542,508.7857740873798,standard
sample_017,698.3526782471727,615.1196071781483,heavy_noise
sample_018,260.4801127030587,633.5350823412439,charging
sample_019,691.174655876973,302.16386893023883,standard
sample_020,701.7411072096372,446.5402533251213,heavy_noise
sample_021,743.1384144307995,686.6959729103273,charging
sample_022,552.9891394037024,616.6846805967491,standard
sample_023,254.67930690388235,499.528905425994,heavy_noise
sample_024,410.9941519959839,695.2112258947404,charging
sample_025,544.007259447699,599.5543738407912,standard
sample_026,317.7440818389809,693.9258513651889,heavy_noise
sample_027,359.67281746346146,456.5058684393336,charging
sample_028,650.7836292088417,701.9752055627818,standard
sample_029,292.2810937532919,337.54397442759705,heavy_noise
sample_030,318.8805867066837,382.0029661968166,charging
sample_031,430.3651466795502,586.9952393338322,standard
sample_032,439.46035482385986,589.2156227923006,heavy_noise
sample_033,727.7894349793643,692.4616312978901,charging
sample_034,441.3320301892794,733.9328185066453,standard
sample_035,289.60881213299433,693.2259473136464,heavy_noise
sample_036,327.0949678125638,662.3027060288186,charging
sample_037,672.7190484678856,357.46886120200577,standard
sample_038,545.0535881591468,510.4035974516704,heavy_noise
sample_039,714.7117973163245,361.2794425765453,charging
sample_040,644.7272598209499,719.5814576606008,standard
sample_041,742.7768809251916,332.8863316666324,heavy_noise
sample_042,719.6733690866374,420.14066411532804,charging
sample_043,639.8195727852068,560.553880942893,standard
sample_044,252.79614907722404,379.4887035334302,heavy_noise
sample_045,449.14597221862317,376.41457265015066,charging
sample_046,672.0856270210726,692.7811366601052,standard
sample_047,697.4960703328389,548.0392441847591,heavy_noise
sample_048,619.1086423015796,701.6648228094473,charging
sample_049,544.8062219932613,318.4032686367706,standard
sample_050,303.45893808848734,499.01549002034005,heavy_noise
sample_051,408.6570017920328,633.5991887547062,charging
sample_052,613.328219246469,384.43866142100114,standard
sample_053,506.43794864604325,501.18351113577455,heavy_noise
sample_054,432.6770727560592,650.9653244994036,charging
sample_055,503.7921455209106,647.1248649764459,standard
sample_056,710.2354002944328,727.9049305916749,heavy_noise
sample_057,605.2560137561052,383.8869177960906,charging
sample_058,358.03995031478087,641.817580980514,standard
sample_059,734.2522238807201,614.6384057493509,heavy_noise
sample_060,643.161310726249,498.19291345750526,charging
sample_061,340.1079208218877,671.3106706460185,standard
sample_062,628.2909301062975,606.0758256365235,heavy_noise
sample_063,370.19224176339833,616.1217578180083,charging
sample_064,275.4410192494714,573.5459746145937,standard
